Index,Hook_X,Hook_Y,Hook_Z,Tip_X,Tip_Y,Tip_Z,Lowpoint_X,Lowpoint_Y,Lowpoint_Z,Hook_WF_X,Hook_WF_Y,Hook_WF_Z,Tip_WF_X,Tip_WF_Y,Tip_WF_Z,Lowpoint_WF_X,Lowpoint_WF_Y,Lowpoint_WF_Z
1,-43.23,-1.95,166.69,-32.07,1.72,157.09,-38.79,9.33,161.48,958.75,-421.93,266.87,970.18,-418.26,257.26,963.34,-410.64,261.66
2,-42.6,-1.55,166.25,-30.89,3.87,158.68,-38.49,10.33,163.43,959.4,-421.53,266.42,971.32,-416.1,258.85,963.58,-409.64,263.6
