x,y,z,roll,pitch,yaw
-235.4259170028314,919.8436776997752,891.8677283360529,-87.71934320390912,78.5274856012044,53.624579672630986
-241.47930666756196,912.0912894821854,889.9064216915135,-90.37482065996288,69.04395487657405,-8.87220711824592
-243.38323879409376,912.3769940457165,889.1710937197468,-87.61726547801061,72.18284998803726,90.88291597593972
-243.43245544075995,910.6005914577063,888.6024322020558,-85.63152599474854,80.3428404441956,88.48570179220758
-243.62321437433786,908.7584329956135,888.2889153382102,-88.85544548692522,69.56043765672294,37.08874416055455
-244.6809125688132,907.9906062746231,887.8048314650489,-90.71294830030448,81.04671658218037,-6.5595046942501005
-246.76064869340183,908.2043882879994,887.4785943322892,-85.65680156488833,80.28587392609596,88.15996427730211
-246.9578337545637,906.3926663782848,887.1681917871704,45.884141700638075,88.95578725870904,-144.58625733158848
-247.30202990461333,904.5237910176137,887.1922693578838,57.675491906502636,89.23510292904277,-178.86584479681926
-248.52798346452477,903.7102024095901,887.205572187384,86.78411027809508,82.95981557567549,-150.3699072663455
-249.76427877324306,902.9080476859167,887.3840917628877,180.0,0.0,0.0
