x,y,z,roll,pitch,yaw
-322.75334765889005,881.512020229877,894.0849172325604,-90.6055467707231,60.00634244441361,-1.168586971324632
-331.4687952767515,881.5976115196531,889.1500724736222,-90.6055467707231,60.00634244441361,-1.168586971324632
-330.488823423154,879.5918052671477,888.2960575170143,-90.6055467707231,60.00634244441361,-1.168586971324632
-332.44296554795136,880.8074714067051,887.5059638729547,-90.6055467707231,60.00634244441361,-1.168586971324632
-333.79455022529953,881.1232047713595,886.6357822615587,-90.6055467707231,60.00634244441361,-1.168586971324632
-334.40471996426106,880.6293897233797,885.8513347575331,-90.6055467707231,60.00634244441361,-1.168586971324632
-335.7671011231065,880.9443500724319,885.0505467954017,-90.6055467707231,60.00634244441361,-1.168586971324632
-337.1324448095346,881.2515107371524,884.0828995632679,-90.6055467707231,60.00634244441361,-1.168586971324632
-338.5109448525716,881.5674160537399,883.3488376539979,-90.6055467707231,60.00634244441361,-1.168586971324632
-340.17381122489746,881.7266296826581,883.340291192046,-90.6055467707231,60.00634244441361,-1.168586971324632
-341.84485174176683,881.8805607631853,883.2504265451986,-90.6055467707231,60.00634244441361,-1.168586971324632
