hook_num,trajectory_process,x_max_local,x_min_local,y_max_local,y_min_local,z_max_local,z_min_local,roll_max,pitch_max,yaw_max,x_mean_local,y_mean_local,z_mean_local
15,4,1.75688232747889e-05,-1.09131923683461,1.48685669119693e-06,-0.697707099553717,1.52378535031688,8.14153740059133e-07,1.68371505604163,1.03441221480381,0.0002798445096274,-0.889061932546712,-0.561329056158809,1.22922443706484
16,1,0.425666961937017,-0.660518055091218,2.66725906948069,-2.05343517415924e-05,5.41700746123493,2.4238046746871e-07,54.4359093188097,45.9185353855078,43.9006856576359,0.111984009102062,2.43677377231401,4.12545324579817
16,2,0.425666961937017,-0.660518055091218,2.66725906948069,-2.05343517415924e-05,5.41700746123493,2.4238046746871e-07,8.42804472028667,5.06499430585744,11.8426588133667,0.111984009102062,2.43677377231401,4.12545324579817
16,3,0.425666961937017,-0.660518055091218,2.66725906948069,-2.05343517415924e-05,5.41700746123493,2.4238046746871e-07,4.49037545863038,2.98501607624804,5.97655846318528,0.111984009102062,2.43677377231401,4.12545324579817
16,4,1.46369154632331e-05,-0.433621277393598,2.66601391922729,-2.05343517415924e-05,3.65373798273244,2.4238046746871e-07,0.678253579712416,0.147229465432808,0.156592096951591,-0.318169689532863,2.56631683682725,3.18486257636837
17,1,0.253287246959351,-1.53760114808998,3.57547934053316,-1.7399787709478e-05,5.97156208919763,-4.85466667047042e-07,56.3465028641748,46.5831309592105,43.5883846824511,-0.071074021733271,1.77829991024372,4.9781912097959
17,2,0.253287246959351,-1.53760114808998,3.57547934053316,-1.7399787709478e-05,5.97156208919763,-4.85466667047042e-07,1.73175345321639,1.41681099236956,14.3033878944503,-0.071074021733271,1.77829991024372,4.9781912097959
17,3,0.253287246959351,-1.53760114808998,3.57547934053316,-1.7399787709478e-05,5.97156208919763,-4.85466667047042e-07,1.2259052087137,1.19062758003178,7.15063661060116,-0.071074021733271,1.77829991024372,4.9781912097959
17,4,1.25546544441144e-05,-0.652498491600332,2.52027654206721,-1.7399787709478e-05,4.62188274322226,-4.85466667047042e-07,0.460273756821642,0.818470104374227,0.0002270853169719,-0.412498782082181,2.41431503785906,4.41567615189633
18,1,,,,,,,54.4830307070702,34.5295696592746,57.7627935440621,,,
18,2,,,,,,,-8.74638934234446,-11.5911522581112,33.4843745239875,,,
18,3,,,,,,,-8.40116708203557,-11.4294411023604,27.0493977766042,,,
18,4,,,,,,,-8.11137834663174,-11.1858060361374,20.6151113376109,,,
19,1,-1.17009728363918e-08,-1.97729586932878,2.23503672205393,1.91346508150339e-08,4.67760637274358,-3.48812604043894e-08,58.3883827989275,46.1605929779698,42.393387566231,-0.544875616676709,1.03059451278822,3.58830691329442
19,2,-1.17009728363918e-08,-1.97729586932878,2.23503672205393,1.91346508150339e-08,4.67760637274358,-3.48812604043894e-08,-6.00612288547509,-3.96429193690359,13.7018392777276,-0.544875616676709,1.03059451278822,3.58830691329442
19,3,-1.17009728363918e-08,-1.97729586932878,2.23503672205393,1.91346508150339e-08,4.67760637274358,-3.48812604043894e-08,-2.10090893625129,-2.17649738397977,6.78888319649955,-0.544875616676709,1.03059451278822,3.58830691329442
19,4,-1.17009728363918e-08,-1.15642637441409,2.26581274489425,1.91346508150339e-08,3.83757701900201,-3.48812604043894e-08,0.707378582143845,0.449248641535284,2.35938393018387e-05,-0.858697082609322,2.14973353584528,3.44730221347087
20,1,0.370453119647762,-1.83255803648829,2.69191409886929,-0.0117249959048586,2.54769358930531,-0.0953081396297751,64.3462486197165,45.8617912926729,45.1478380841589,-0.117664690372295,1.2332996374024,1.25562239119403
20,2,0.370453119647762,-1.83255803648829,2.69191409886929,-0.0117249959048586,2.54769358930531,-0.0953081396297751,1.3454650457288,0.294174036121723,9.46679248410958,-0.117664690372295,1.2332996374024,1.25562239119403
20,3,0.370453119647762,-1.83255803648829,2.69191409886929,-0.0117249959048586,2.54769358930531,-0.0953081396297751,1.24558592321608,0.233314578722023,4.73349934783426,-0.117664690372295,1.2332996374024,1.25562239119403
