x,y,z,roll,pitch,yaw
-330.5094530048835,839.1019072168745,887.7647542376308,-89.85390919772166,58.85539822885936,3.514719104932517
-338.899064980967,838.4090901856333,882.6040972613173,-90.5247945612362,45.96296035294134,-31.09988761610132
-339.89828925518884,838.999073900333,881.4855139285328,-89.85892475514268,49.01663968748073,6.236775752534685
-340.97167768339204,838.8823756176573,880.5487181680267,-89.66791200727909,50.51682410729578,36.82821618717895
-341.7572799965016,838.3000477387085,879.7470506104205,-90.58542760962284,61.0236433136376,-10.996142550091855
-343.20992662532836,838.5675041878158,878.9304736664817,-89.81776444333744,54.446901414223134,9.975970618046913
-344.37375104817926,838.3644965846429,878.0880286551183,-89.83197276454436,55.77155330373302,7.527175223482531
-345.4533722451194,838.2231836904824,877.3488066393927,-90.56617298136953,61.90008314164905,-7.199223285431947
-347.01392130469367,838.4050462842032,876.5109773981956,-89.31179892671094,81.76229814167093,15.037347643345552
-348.3636994290757,838.0574885240927,876.3129476101817,-91.43590574519824,79.83813938923959,-5.155325382478188
-350.0310939368071,838.1659814472429,876.0161833347279,180.0,0.0,0.0
