x,y,z,roll,pitch,yaw
-819.2888140968579,438.30666598495714,900.049994947992,-90.27513223276942,45.430016682231766,-4.54543951243448
-826.3411255771379,438.8709995739206,893.0756970479663,-89.62479406551378,24.231990354964736,39.88837569214868
-826.7240495725723,438.5587665419821,891.9859646725829,-89.56253062415784,45.2014417441508,38.072446124974824
-827.4993905683624,437.9612601145558,891.0191056408775,-89.56083903609937,45.20683258588278,38.53304006671831
-828.2701400709007,437.3574411881382,890.0522278311819,-89.55916410116177,45.21406563949736,38.99355468767604
-829.0362562350474,436.74733909253257,889.0853818414028,-89.71965506127938,53.973237506788564,3.66330073957607
-830.3061144730024,436.6706402449222,888.1616120683274,-89.51610735981112,51.13584637345888,39.57831714758585
-831.0680356544489,436.0512644759848,887.3747367135225,-89.67555229509094,59.5637650186915,4.13981622627663
-832.3419823704382,435.96476055229107,886.6262674734373,-89.04936754487998,73.48641587367756,39.61060132844613
-833.2985689000326,435.1965917653025,886.2662845961074,83.85526045334748,86.56217744475858,-147.5121564438922
-834.2531394402131,434.42917505296066,886.3359740517278,180.0,0.0,0.0
