hook_num,trajectory_process,x_max_local,x_min_local,y_max_local,y_min_local,z_max_local,z_min_local,roll_max,pitch_max,yaw_max,x_mean_local,y_mean_local,z_mean_local
1,1,0.156487376866472,-2.49432427515475,3.99987364168385,9.38259412656076e-08,1.42456662435979,-2.01258115534723,39.6646970451135,37.3406738644343,43.6702805973469,-0.466028815868926,3.25790737246865,-0.261112274718386
1,2,0.156487376866472,-2.49432427515475,3.99987364168385,9.38259412656076e-08,1.42456662435979,-2.01258115534723,8.11235143809001,4.61164159190605,44.2032679980174,-0.466028815868926,3.25790737246865,-0.261112274718386
1,3,0.156487376866472,-2.49432427515475,3.99987364168385,9.38259412656076e-08,1.42456662435979,-2.01258115534723,3.88994585933965,3.64501757772173,22.34647032282,-0.466028815868926,3.25790737246865,-0.261112274718386
1,4,3.38006869589175e-08,-2.09936394406482,3.95000540568692,9.38259412656076e-08,0.30654444086116,-0.713197388761947,1.48510194260401e-07,0.570483816066953,0.613193537972121,-1.06655732904484,3.51187776424275,-0.191046039820901
2,1,1.15748487593434,-2.73352089620343,7.47768374954252,-3.01246370048516e-08,0.427286019009383,-4.53336737009034,36.6663239915313,4.36571309520198,50.498013274371,-0.473410907780584,3.80180165395389,-1.63418897269498
2,2,1.15748487593434,-2.73352089620343,7.47768374954252,-3.01246370048516e-08,0.427286019009383,-4.53336737009034,-2.83399358084324,-3.15886902238144,50.5059075810436,-0.473410907780584,3.80180165395389,-1.63418897269498
2,3,1.15748487593434,-2.73352089620343,7.47768374954252,-3.01246370048516e-08,0.427286019009383,-4.53336737009034,2.66051885741657,-2.99122081871554,25.2249839966833,-0.473410907780584,3.80180165395389,-1.63418897269498
2,4,1.17528658006883,-1.68914402131333,3.58012412876139,-3.01246370048516e-08,0.535840950647797,-0.328091155575364,4.28068355703528,0.610689662154058,0.0078953684722655,-0.213279749989855,2.79261092473396,0.112680450967526
3,1,1.92521595801512,-2.60371074054397,4.73189180584844,-1.75616401092951e-09,1.78593042916505,-2.72923010850099,55.732339629832,38.4752720207252,43.8114745057616,0.638913871250492,2.76921760326728,-0.531068295817463
3,2,1.92521595801512,-2.60371074054397,4.73189180584844,-1.75616401092951e-09,1.78593042916505,-2.72923010850099,22.8079265840359,14.8698296770222,44.1684489189806,0.638913871250492,2.76921760326728,-0.531068295817463
3,3,1.92521595801512,-2.60371074054397,4.73189180584844,-1.75616401092951e-09,1.78593042916505,-2.72923010850099,8.27901721747177,11.251437177191,21.5339182765319,0.638913871250492,2.76921760326728,-0.531068295817463
