x,y,z,roll,pitch,yaw
-368.3525339491707,813.3763885689307,895.3168374120526,-89.90797397625524,54.61607019167057,3.132797151950674
-376.6034634449686,813.1100664683286,889.5348034996814,-89.61647720618869,2.6117248069379184,128.82881612456723
-376.57439692009405,813.0584989725912,888.3460143861049,-89.90166773620336,59.87698162377327,2.8033115557825856
-377.7994615753817,812.9979024774946,887.6362381969079,-89.72671123107288,48.63454597240262,36.90472604646577
-378.5534366761699,812.4350734475138,886.8130481718606,-89.73208188220681,46.58698205345541,36.90998967426393
-379.3071164242258,811.8723756597601,885.928831503616,-89.90923076024046,53.875261730621574,3.0959224745919625
-380.54301707540486,811.8042814277576,885.026977249519,-89.72881080604915,48.55584265351198,36.477981091233666
-381.3038048022761,811.2450608449669,884.1985410254533,-89.90593876077538,57.673086160301345,2.761567826550432
-382.5563171752253,811.1837664215138,883.4067436744039,-89.48415504658377,75.99212380399466,34.714827571145875
-383.53051849967954,810.5175634266177,883.1166279177929,-92.15377632549266,79.07967402545032,-33.36986811718874
-386.1120204893673,812.08991396744,882.5441615093237,180.0,0.0,0.0
