x,y,z,roll,pitch,yaw
-108.48412102874124,983.2537989755598,726.1031557752477,-89.23565697728874,34.90766745481669,-7.431591950873478
-200.44414225531727,1018.7938622615563,709.1982956892632
-201.3027493916759,1018.2791526826959,706.534479064364
-202.54310713112625,1018.3608268720452,704.0525114234257
-204.12553351083977,1018.9045820902228,701.800391754529
-206.01034656798788,1019.7761155978466,699.8261190457544
-208.1578643397421,1020.8411246555347,698.1776922851822
-210.5284048632738,1021.9653065239056,696.9031104608931
-213.08228617575446,1023.0143584635773,696.0503725609675
-215.77982631435546,1023.853977735168,695.6674775734858
-218.58134331624828,1024.349861599296,695.8024244865287
