epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,211.564,0.71207,1.5761,0.45442,0.88874,0.95375,0.94,0.96889,0.67159,0.84953,0.839,0.81224,0.42042,0.79137,2.07181,0.44487,0.88628,9.7327e-05,9.7327e-05,9.7327e-05
29,218.778,0.69887,1.55509,0.4454,0.88162,0.96399,0.94951,0.97549,0.68162,0.86002,0.85876,0.83347,0.46069,0.76915,1.8038,0.42565,0.87625,9.7228e-05,9.7228e-05,9.7228e-05
30,226.579,0.70358,1.58956,0.43915,0.88105,0.94669,0.96502,0.98075,0.68486,0.84456,0.86225,0.83049,0.46471,0.75706,1.72478,0.41617,0.86452,9.7129e-05,9.7129e-05,9.7129e-05
31,234.053,0.69757,1.57905,0.44375,0.88045,0.96416,0.95228,0.98022,0.69721,0.84944,0.84239,0.81978,0.43195,0.75615,1.96559,0.42492,0.86446,9.703e-05,9.703e-05,9.703e-05
32,241.017,0.68558,1.51276,0.44162,0.87843,0.95698,0.9419,0.97108,0.69481,0.86517,0.85352,0.8318,0.45568,0.75613,1.8968,0.4178,0.86465,9.6931e-05,9.6931e-05,9.6931e-05
33,248.536,0.70807,1.57565,0.44367,0.88357,0.95733,0.95619,0.97501,0.6999,0.84532,0.84352,0.81255,0.44234,0.76805,1.85984,0.41617,0.86703,9.6832e-05,9.6832e-05,9.6832e-05
34,255.744,0.68579,1.54716,0.43278,0.88155,0.96074,0.95881,0.9783,0.69677,0.83947,0.84896,0.81612,0.44484,0.75638,1.78399,0.41692,0.85763,9.6733e-05,9.6733e-05,9.6733e-05
35,262.584,0.67407,1.46001,0.43064,0.8744,0.95088,0.95869,0.97375,0.70436,0.86972,0.88103,0.85298,0.4577,0.75705,1.82395,0.40975,0.86262,9.6634e-05,9.6634e-05,9.6634e-05
36,269.655,0.68717,1.4886,0.43223,0.88022,0.95431,0.94359,0.97232,0.68965,0.81863,0.83459,0.78871,0.44785,0.74613,1.82045,0.41702,0.85263,9.6535e-05,9.6535e-05,9.6535e-05
37,277.339,0.696,1.58706,0.43223,0.87893,0.97427,0.94462,0.98659,0.69814,0.85013,0.858,0.82874,0.45008,0.73024,1.84112,0.40855,0.84967,9.6436e-05,9.6436e-05,9.6436e-05
38,284.96,0.68466,1.56385,0.42945,0.87668,0.95928,0.97454,0.98751,0.70656,0.85242,0.86698,0.83244,0.44836,0.73577,1.9012,0.41311,0.847,9.6337e-05,9.6337e-05,9.6337e-05
39,292.058,0.6712,1.52727,0.41836,0.87343,0.95324,0.97761,0.98269,0.70138,0.82481,0.85051,0.8126,0.44142,0.7492,2.02369,0.41086,0.85502,9.6238e-05,9.6238e-05,9.6238e-05
40,299.773,0.69179,1.57263,0.42961,0.88422,0.96477,0.98484,0.98873,0.71001,0.85492,0.8648,0.8386,0.45935,0.77018,1.84627,0.41588,0.87152,9.6139e-05,9.6139e-05,9.6139e-05
41,307.781,0.68287,1.5514,0.4284,0.87937,0.95636,0.97372,0.98491,0.71189,0.85749,0.86993,0.8285,0.46086,0.72998,1.82528,0.40581,0.85571,9.604e-05,9.604e-05,9.604e-05
42,315.089,0.66314,1.50939,0.41741,0.87393,0.96941,0.95984,0.9858,0.70733,0.82364,0.8305,0.79068,0.43213,0.72147,1.97717,0.40341,0.84992,9.5941e-05,9.5941e-05,9.5941e-05
43,322.378,0.65719,1.52343,0.41389,0.87393,0.96612,0.97971,0.98922,0.71267,0.85659,0.84424,0.82104,0.44812,0.71498,2.02118,0.40026,0.85199,9.5842e-05,9.5842e-05,9.5842e-05
44,329.153,0.65191,1.51789,0.40754,0.86813,0.96823,0.95652,0.98413,0.70152,0.83402,0.84924,0.80273,0.44514,0.7534,1.96023,0.41185,0.86319,9.5743e-05,9.5743e-05,9.5743e-05
45,336.334,0.66706,1.48065,0.42295,0.86734,0.94989,0.97466,0.98051,0.70851,0.82966,0.84398,0.79701,0.44998,0.73146,1.88211,0.4013,0.85651,9.5644e-05,9.5644e-05,9.5644e-05
46,343.89,0.66577,1.55359,0.41547,0.87156,0.96516,0.97434,0.98651,0.70286,0.85993,0.86896,0.84166,0.44897,0.73575,1.9006,0.40389,0.85702,9.5545e-05,9.5545e-05,9.5545e-05
47,351.437,0.64204,1.52385,0.40753,0.86781,0.972,0.96244,0.98474,0.70889,0.85229,0.85875,0.8445,0.44959,0.72288,1.88939,0.39982,0.85332,9.5446e-05,9.5446e-05,9.5446e-05
48,358.953,0.66909,1.52047,0.42042,0.88248,0.96909,0.96464,0.98823,0.70766,0.86649,0.88017,0.85987,0.47898,0.74304,1.69542,0.40418,0.85828,9.5347e-05,9.5347e-05,9.5347e-05
49,366.348,0.66844,1.51568,0.42079,0.87314,0.97221,0.97718,0.98833,0.70627,0.83757,0.86321,0.81365,0.44269,0.74125,1.87411,0.40738,0.85607,9.5248e-05,9.5248e-05,9.5248e-05
50,373.314,0.66773,1.5263,0.41191,0.86978,0.97451,0.96131,0.98628,0.70325,0.85722,0.86737,0.82887,0.45405,0.74253,1.90706,0.40342,0.86346,9.5149e-05,9.5149e-05,9.5149e-05
51,380.351,0.66692,1.48315,0.40765,0.87304,0.98203,0.95417,0.9853,0.70643,0.85935,0.86566,0.83309,0.45558,0.7283,1.88276,0.39748,0.86002,9.505e-05,9.505e-05,9.505e-05
52,386.937,0.64575,1.49642,0.40631,0.86204,0.97165,0.96357,0.98573,0.70818,0.84579,0.8609,0.82089,0.4479,0.74558,1.86844,0.39564,0.86782,9.4951e-05,9.4951e-05,9.4951e-05
53,393.74,0.65442,1.52366,0.4083,0.87148,0.96682,0.97802,0.98923,0.71948,0.83655,0.84875,0.81143,0.45047,0.73953,1.84651,0.39358,0.86465,9.4852e-05,9.4852e-05,9.4852e-05
54,400.225,0.64012,1.45004,0.39951,0.86463,0.9596,0.97571,0.9864,0.70447,0.80627,0.82526,0.77361,0.4251,0.74611,2.0778,0.39862,0.86372,9.4753e-05,9.4753e-05,9.4753e-05
55,407.227,0.65297,1.48978,0.40347,0.87059,0.96856,0.97636,0.98602,0.71217,0.85951,0.8315,0.81745,0.43955,0.73233,2.05507,0.39804,0.85741,9.4654e-05,9.4654e-05,9.4654e-05
56,415.077,0.66544,1.56136,0.40667,0.87243,0.96572,0.96608,0.97991,0.71454,0.88136,0.88287,0.86572,0.46633,0.71184,1.86383,0.38598,0.85047,9.4555e-05,9.4555e-05,9.4555e-05
57,421.386,0.6495,1.40826,0.40892,0.86429,0.96656,0.96534,0.9872,0.71114,0.83321,0.86937,0.83227,0.45526,0.74104,1.82856,0.40019,0.8581,9.4456e-05,9.4456e-05,9.4456e-05
58,429.265,0.67362,1.59983,0.40952,0.8694,0.97471,0.96363,0.98409,0.70937,0.86876,0.8743,0.85009,0.46827,0.73127,1.82804,0.39232,0.85203,9.4357e-05,9.4357e-05,9.4357e-05
59,436.075,0.65088,1.44546,0.40054,0.86891,0.96897,0.97083,0.99022,0.72018,0.83642,0.84425,0.79551,0.42266,0.72815,1.99303,0.39113,0.86432,9.4258e-05,9.4258e-05,9.4258e-05
60,442.922,0.65,1.48721,0.40382,0.8684,0.98172,0.97083,0.99123,0.7232,0.86023,0.86161,0.83471,0.44428,0.70977,1.91857,0.38503,0.85559,9.4159e-05,9.4159e-05,9.4159e-05
61,450.128,0.64801,1.50862,0.39765,0.87328,0.96614,0.9804,0.9907,0.72745,0.86022,0.86668,0.86311,0.47321,0.69617,1.71708,0.38879,0.85176,9.406e-05,9.406e-05,9.406e-05
62,457.586,0.6483,1.54372,0.40102,0.86784,0.97642,0.97323,0.98819,0.71416,0.84379,0.84373,0.80959,0.44632,0.72188,1.84404,0.39946,0.85455,9.3961e-05,9.3961e-05,9.3961e-05
63,465.284,0.64217,1.57837,0.39183,0.86763,0.97469,0.97595,0.98896,0.71569,0.86212,0.88055,0.84322,0.45842,0.72193,1.84516,0.38923,0.85461,9.3862e-05,9.3862e-05,9.3862e-05
64,472.196,0.63273,1.51388,0.38433,0.85796,0.9763,0.97083,0.9885,0.72819,0.85962,0.85394,0.82713,0.43874,0.70441,1.95222,0.38851,0.84812,9.3763e-05,9.3763e-05,9.3763e-05
65,479.118,0.64743,1.49669,0.39668,0.87166,0.9734,0.96747,0.98533,0.72687,0.87142,0.87157,0.84595,0.46009,0.70257,1.90203,0.38617,0.84813,9.3664e-05,9.3664e-05,9.3664e-05
66,485.921,0.63373,1.46176,0.38955,0.86403,0.96547,0.96749,0.98461,0.72751,0.84932,0.84388,0.82829,0.44938,0.70405,2.00951,0.38746,0.84643,9.3565e-05,9.3565e-05,9.3565e-05
67,492.991,0.63872,1.48103,0.39274,0.86769,0.97593,0.97793,0.98894,0.71935,0.86005,0.86992,0.83888,0.45488,0.72683,1.96677,0.38857,0.8493,9.3466e-05,9.3466e-05,9.3466e-05
68,500.349,0.63229,1.4828,0.39204,0.85848,0.96892,0.98298,0.9912,0.71901,0.86831,0.87975,0.85143,0.45285,0.72713,1.96948,0.38019,0.85209,9.3367e-05,9.3367e-05,9.3367e-05
