hook_num,trajectory_process,x_max_local,x_min_local,y_max_local,y_min_local,z_max_local,z_min_local,roll_max,pitch_max,yaw_max,x_mean_local,y_mean_local,z_mean_local,x_mean_work,y_mean_work,z_mean_work,x_mean_all_work,y_mean_all_work,z_mean_all_work
3,1,1.19589286045827e-06,-1.76859313810219,0.393187632864775,-0.950606313492197,-7.68134361244074e-07,-2.04269315419361,24.9365043442444,11.9665856154405,23.493562176461,-0.967212928879008,-0.682831987305407,-1.69577418521145,-1.28959821097238,-1.20710733287489,-1.07630487720776,,,
3,2,1.19589286045827e-06,-1.76859313810219,0.393187632864775,-0.950606313492197,-7.68134361244074e-07,-2.04269315419361,3.65413496695228,0.0336191406994288,1.49088989847378,-0.967212928879008,-0.682831987305407,-1.69577418521145,-1.28959821097238,-1.20710733287489,-1.07630487720776,,,
3,3,1.19589286045827e-06,-1.76859313810219,0.393187632864775,-0.950606313492197,-7.68134361244074e-07,-2.04269315419361,3.07803687469247,0.212946418951347,0.783302971826132,-0.967212928879008,-0.682831987305407,-1.69577418521145,-1.28959821097238,-1.20710733287489,-1.07630487720776,,,
3,4,1.19589286045827e-06,-1.48544485436518,-7.97131090886528e-07,-0.568169924722597,-7.68134361244074e-07,-1.62700590071303,1.78958670400956,0.293088790328994,7.07155642487578e-07,-1.35453553203094,-0.47145838215339,-1.5220191108097,-1.48117371094706,-1.3244968068543,-0.652342950794428,,,
4,1,4.88867978045383e-07,-1.99077142843456,1.14606996151778,-0.154881676888551,-6.62740426636052e-07,-1.15390983158036,18.11110231657,11.7378612116911,26.406676208368,-0.971536885364611,0.188376145049664,-0.727199861827235,-1.08893707165125,-0.563487464304837,0.049613992823352,,,
4,2,4.88867978045383e-07,-1.99077142843456,1.14606996151778,-0.154881676888551,-6.62740426636052e-07,-1.15390983158036,-5.75295568322483,-9.299775767626,1.17086510416247,-0.971536885364611,0.188376145049664,-0.727199861827235,-1.08893707165125,-0.563487464304837,0.049613992823352,,,
4,3,4.88867978045383e-07,-1.99077142843456,1.14606996151778,-0.154881676888551,-6.62740426636052e-07,-1.15390983158036,-1.7675824338869,-4.66846442424281,0.652189588232346,-0.971536885364611,0.188376145049664,-0.727199861827235,-1.08893707165125,-0.563487464304837,0.049613992823352,,,
4,4,4.88867978045383e-07,-1.90885604734334,0.256509477732066,-4.75473971563209e-07,-6.62740426636052e-07,-0.626335381472712,1.59270190195566,0.0682844861202163,0.389075610467152,-1.75236587718658,0.246153104431321,-0.410727556016172,-1.29239419626693,-1.06680669731168,0.700807803526071,,,
5,1,9.31368147678399e-06,-3.47852547298519,2.29756390798093,-1.92370548914891,9.48285580733942e-06,-3.7500723543009,38.2812322468403,14.1081764610697,35.2995374834471,-1.69834257301382,-0.235942534006928,-2.08616990290909,-2.4568326669666,-1.00393955997266,-0.487154529810654,,,
5,2,9.31368147678399e-06,-3.47852547298519,2.29756390798093,-1.92370548914891,9.48285580733942e-06,-3.7500723543009,19.9174500963372,14.1081764610697,10.7756838615522,-1.69834257301382,-0.235942534006928,-2.08616990290909,-2.4568326669666,-1.00393955997266,-0.487154529810654,,,
