epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,257.424,0.75536,1.62731,0.65247,0.9072,0.92351,0.87399,0.92098,0.65603,0.85539,0.80144,0.83047,0.435,0.80739,1.93234,0.62005,0.88499,9.7327e-05,9.7327e-05,9.7327e-05
29,266.241,0.74703,1.59068,0.64202,0.90133,0.9316,0.87391,0.92523,0.66123,0.87134,0.80391,0.83525,0.43023,0.80281,2.01815,0.60915,0.88427,9.7228e-05,9.7228e-05,9.7228e-05
30,275.356,0.74013,1.62844,0.6341,0.90304,0.93033,0.86909,0.92581,0.65778,0.89793,0.81918,0.86913,0.46902,0.81138,1.74212,0.60813,0.88907,9.7129e-05,9.7129e-05,9.7129e-05
31,284.94,0.73966,1.64779,0.62756,0.90209,0.93306,0.86777,0.92287,0.6567,0.86883,0.80953,0.83186,0.44266,0.81715,1.86174,0.60896,0.88648,9.703e-05,9.703e-05,9.703e-05
32,294.116,0.73759,1.58133,0.61892,0.89966,0.90507,0.87872,0.92565,0.67118,0.87034,0.80405,0.83582,0.43261,0.78072,1.89169,0.59125,0.87761,9.6931e-05,9.6931e-05,9.6931e-05
33,303.278,0.72529,1.57385,0.61182,0.89531,0.92285,0.88686,0.93245,0.66749,0.86032,0.82061,0.85464,0.46745,0.79674,1.74376,0.58637,0.87933,9.6832e-05,9.6832e-05,9.6832e-05
34,312.378,0.72656,1.58128,0.61289,0.9027,0.91978,0.87247,0.92234,0.66854,0.85402,0.8083,0.83066,0.42382,0.79981,2.02354,0.60173,0.88535,9.6733e-05,9.6733e-05,9.6733e-05
35,321.81,0.72955,1.60091,0.61085,0.9024,0.92422,0.8806,0.92992,0.6693,0.8763,0.83015,0.86257,0.47394,0.78595,1.70915,0.57809,0.87824,9.6634e-05,9.6634e-05,9.6634e-05
36,330.935,0.73413,1.60201,0.60817,0.89639,0.92252,0.8796,0.93139,0.67313,0.88492,0.8193,0.85883,0.45905,0.79669,1.79546,0.58651,0.88084,9.6535e-05,9.6535e-05,9.6535e-05
37,340.301,0.71798,1.57354,0.59931,0.89776,0.91211,0.88765,0.93057,0.67529,0.84586,0.82741,0.83974,0.44743,0.79297,1.80203,0.57991,0.87924,9.6436e-05,9.6436e-05,9.6436e-05
38,348.906,0.72607,1.56835,0.59806,0.89193,0.90903,0.88742,0.93202,0.68525,0.88261,0.81568,0.85574,0.46465,0.77649,1.75335,0.56257,0.87292,9.6337e-05,9.6337e-05,9.6337e-05
39,358.555,0.72037,1.61542,0.60119,0.90208,0.91834,0.87437,0.9281,0.67898,0.87678,0.79639,0.83069,0.42837,0.77831,1.99347,0.57269,0.87942,9.6238e-05,9.6238e-05,9.6238e-05
40,368.387,0.71669,1.59858,0.58271,0.898,0.92677,0.88619,0.93573,0.66663,0.8585,0.82483,0.83393,0.44606,0.7988,1.84972,0.57746,0.88209,9.6139e-05,9.6139e-05,9.6139e-05
41,378.268,0.70989,1.58315,0.58283,0.90027,0.93058,0.89044,0.93618,0.68818,0.88169,0.82635,0.85119,0.45629,0.7779,1.83982,0.56321,0.87236,9.604e-05,9.604e-05,9.604e-05
42,387.998,0.71388,1.5676,0.58059,0.89613,0.92753,0.88967,0.93466,0.6724,0.87768,0.81483,0.83902,0.43968,0.79439,1.91337,0.57006,0.87877,9.5941e-05,9.5941e-05,9.5941e-05
43,398.179,0.71164,1.5762,0.59713,0.90261,0.92377,0.89311,0.93888,0.68252,0.86426,0.8233,0.84369,0.45518,0.77911,1.8429,0.56071,0.87506,9.5842e-05,9.5842e-05,9.5842e-05
44,407.152,0.70597,1.52195,0.57201,0.88845,0.92609,0.90462,0.94273,0.68485,0.83235,0.81595,0.82524,0.42055,0.78681,2.04848,0.55909,0.87783,9.5743e-05,9.5743e-05,9.5743e-05
45,416.627,0.69809,1.58575,0.56696,0.89092,0.91393,0.90396,0.93714,0.67856,0.86198,0.79221,0.81811,0.42804,0.79463,1.94312,0.56461,0.87577,9.5644e-05,9.5644e-05,9.5644e-05
46,425.437,0.69514,1.53662,0.56013,0.88577,0.91674,0.89629,0.93631,0.68696,0.88683,0.81709,0.85987,0.44984,0.75928,1.86652,0.55032,0.86819,9.5545e-05,9.5545e-05,9.5545e-05
47,435.957,0.70599,1.54217,0.57589,0.89352,0.9192,0.89557,0.94062,0.6827,0.85165,0.83005,0.83807,0.45458,0.77863,1.90719,0.55497,0.87219,9.5446e-05,9.5446e-05,9.5446e-05
48,445.609,0.70969,1.57566,0.56495,0.89947,0.91695,0.90576,0.93941,0.68869,0.85329,0.83189,0.84645,0.44798,0.77438,1.86149,0.55838,0.87308,9.5347e-05,9.5347e-05,9.5347e-05
