x,y,z,roll,pitch,yaw
-772.8474387523457,484.3844483904677,896.849112619542,-90.28892434342255,45.45048127360113,-4.686399838655369
-776.4611623268446,484.7348746663658,893.3356724364814,-90.61729543738578,47.29391938799974,-43.875508497281594
-777.7195643659023,485.9126775577436,891.7479736009425,-89.79308022774634,35.535187322214874,29.85449151209189
-778.5133168662107,485.4620957456633,890.4722751841514,-89.78649560214134,36.53415226528515,30.408620168304985
-779.4146883291646,484.9389369508465,889.0680623747251,-89.78194913092254,36.501423127555405,30.96882723020082
-780.310718027356,484.4072813265223,887.6626261443116,-89.77113661222653,39.096780370492304,31.53325068588303
-781.2002661707756,483.8675679530694,886.3844591258769,-89.77783843134989,34.12052992517763,32.08979863640105
-781.9757483528898,483.38719417190725,885.0407204620092,-89.76899754655358,36.42156229821905,32.578393546483916
-782.8561811580041,482.83130649284647,883.6321760068549,-89.74856941202862,42.340047778535684,33.06814135550342
-783.8390536338158,482.19872903387045,882.3517922393142,-90.0494014139699,66.97841512449185,4.511129614468176
-785.566511893708,482.05963341438206,881.6165559595645,180.0,0.0,0.0
