x,y,z,roll,pitch,yaw
-381.20810795571634,808.1265489105067,896.4108968089643,-90.29935071439883,45.455496434495316,-4.711694405637782
-384.79802801561107,808.4519913725527,892.9233235458487,-90.49594402805955,44.030911042464346,-29.03267479002502
-386.1309904952699,809.174750597928,891.3580115781361,-89.87119362347467,51.289296978535056,6.048961305255944
-387.6648453650271,809.0137020317167,890.1233601035997,-89.60345189600399,54.68389913761602,32.62096904158896
-388.8715799924478,808.2523483104507,889.1161905072943,-89.32462950012408,61.02338768529117,57.99022878648273
-389.74191145996997,806.8979874484048,888.2290230691108,-89.33882625807709,59.4518609698003,60.40803353577749
-390.4997749941656,805.6017747915762,887.3470877345042,-89.34359666539524,59.65227947641107,59.02276615505025
-391.3433156321413,804.2352521089199,886.4113813162326,-89.42294301584147,67.02498939636773,34.505043056243316
-392.6149804209613,803.3780399747438,885.7645947984104,24.92700756901882,89.71100704855364,148.64981298437823
-394.18056534459276,802.3287643387495,885.7646091356596,-89.80860697006113,57.94014801923694,10.019803531860042
-395.6810110885002,802.0670618842544,884.8126161491557,180.0,0.0,0.0
