Index,Hook_X,Hook_Y,Hook_Z,Tip_X,Tip_Y,Tip_Z,Lowpoint_X,Lowpoint_Y,Lowpoint_Z
1,20.68175551488607,-57.38844489244859,143.7285727347026,76.83882423279698,-51.10594765900694,135.0562120861581,117.74629284601319,-46.17048436295205,140.88823461483435
2,146.48082770055285,-66.46559486396883,167.0399217108443,192.99527431184475,-57.61972860733111,158.72849404258452,220.02086608045394,-53.07701108330832,165.14442931625968
3,256.23561298577556,-67.41029655621178,167.01578770085007,309.8422136966281,-58.76137821931678,157.6331853992263,345.4105232680153,-53.721155286536806,164.36130188313305
4,377.29746119357367,-67.3383777330268,167.28517721544958,423.51202345500536,-56.306733870993234,158.9458342000959,450.54121783577074,-52.78178998890523,165.73386792295136
5,489.2506475792405,-69.49125981966192,170.93654738636786,549.731181403967,-58.23439613456323,164.0295283858873,591.4377253707096,-53.08193215056574,168.03782420753737
6,624.7724769862756,-68.86377937101422,167.2045208247728,674.3944386272397,-58.87935955224774,159.4075639062302,706.7991616054837,-53.60238173511326,164.06349470774563
7,743.4380343122604,-70.0031430011827,169.6746687598431,793.4467670071608,-60.84059109106608,161.7064212896091,824.6982057222506,-55.714597199304016,167.20251632235025
8,858.4950707515993,-69.87964067604304,171.15634332795852,905.1507878338145,-57.94559006877989,163.71028648660462,932.98649152451,-54.74222155934735,169.57687647746113
9,969.8085961439235,-70.27078332478827,171.043035955908,1035.2204749591795,-59.92278284277594,164.973135823324,1080.093967060511,-55.65173332088394,169.20929404191563
10,1118.1854137877478,-69.75781263782427,169.17540054139263,1166.018774603207,-60.88285608593586,161.38902303522426,1194.24323393102,-54.67064501847738,165.75486203313514
11,1231.2290509961856,-72.42415888261361,170.71853147811913,1277.9741014461438,-66.25598321875391,163.3298685942993,1303.9101938231909,-58.21235943800728,166.36787950423462
12,1336.538673561809,-71.0081411223126,172.49583116699566,1389.3874472258744,-60.67864744110576,165.23177152330234,1421.910472758758,-56.59750931180689,170.90362349526154
13,1457.6670701037137,-70.41120753436476,171.4188768978349,1512.1822932331086,-60.7711510764215,164.42089364961296,1546.7329680195387,-56.02496841202832,169.5094440545599
14,1583.3186543702332,-72.44521887911957,176.2067640515691,1639.3317835535004,-63.845662076403364,169.9615923339059,1673.2277066060485,-57.98998452052279,173.89286661604527
15,1710.4626686065046,-70.64501680713799,173.93038893416102,1758.9265129430728,-56.76247284590393,167.97914420371205,1787.8736305481737,-55.51662149254694,175.30649463671398
16,1825.6566740273008,-70.71842902020516,173.96969678994236,1877.2799424569614,-60.59629113752205,167.2699762079928,1908.864998285517,-56.42084106984099,172.32974870823736
17,1944.5820554871161,-71.50194856776923,176.15845592896986,1999.5394499207675,-61.938390040197916,170.08384528899148,2033.145677084241,-57.79083789931687,175.86154928659778
18,2071.8867024082692,-71.21795380083181,175.0275633592711,2116.5768500701306,-63.058574947967045,167.74112344885935,2141.2571524100385,-57.79153850342934,173.75660533207625
19,2175.8399700736563,-71.7212280005814,176.28598097399404,2237.2853990832564,-62.13742526878502,169.26491718629555,2279.0144246811587,-57.84817419010988,175.86071350210105
20,2316.0337473155255,-71.86874686861147,175.02467383895345,2364.703666121835,-62.94814110154896,167.01886235173617,2392.5235670494367,-58.31383744404305,173.64384727935024
21,2431.60106625882,-72.85230140027296,177.99586583582825,2480.360145295892,-63.47386110150401,170.174445897886,2510.2790067740684,-59.07084457892578,177.5897112195021
