hook_num,trajectory_process,x_max_local,y_max_local,z_max_local,roll_max,pitch_max,yaw_max,x_mean_local,y_mean_local,z_mean_local
1,1,4.42,2.59,1.64,269.87,42.39,121.78,-1.975,-3.26,-1.4149999999999998
1,2,4.42,2.59,1.64,0.12,8.350557260054039,5.57,-1.975,-3.26,-1.4149999999999998
1,3,4.42,2.59,1.64,0.12,8.350557260054039,5.57,-1.975,-3.26,-1.4149999999999998
1,4,9.7,2.88,0.59,1.2598709986377798e-06,1.41,0.1,-2.57,-1.9849999999999999,-1.555
2,1,0.0,0.0,1.95,270.34,42.96,94.41,-2.1925,-4.135,0.35250000000000004
2,2,0.0,0.0,1.95,0.7,12.14,8.56,-2.1925,-4.135,0.35250000000000004
2,3,0.0,0.0,1.95,0.7,12.14,8.56,-2.1925,-4.135,0.35250000000000004
2,4,0.0,0.0,0.99,0.45,1.32,-0.0,-2.37,-2.7775,-0.535
3,1,21.56,1.03,25.71,269.74,45.15,112.48,1.518749999999959,-3.0537500000000253,0.2074999999999935
3,2,21.56,1.03,25.71,0.56,14.95,10.22,1.518749999999959,-3.0537500000000253,0.2074999999999935
3,3,21.56,1.03,25.71,0.56,14.95,10.22,1.518749999999959,-3.0537500000000253,0.2074999999999935
3,4,21.56,0.15,26.02,0.38,1.05,0.0,1.2899999999999587,-2.1700000000000235,-0.2887500000000089
4,1,2.72,0.56,1.27,271.23,43.55,167.51,2.1037499999996783,-3.8468750000000753,-2.458124999999945
4,2,2.72,0.56,1.27,1.61,16.07,10.22,2.1037499999996783,-3.8468750000000753,-2.458124999999945
4,3,2.72,0.56,1.27,1.61,16.07,10.22,2.1037499999996783,-3.8468750000000753,-2.458124999999945
4,4,2.26,0.0,0.5,0.78,0.85,0.0,1.7749999999996948,-2.734375000000035,-2.404374999999901
5,1,3.16,0.0,1.91,275.48,49.13,154.73,0.7699999999996381,-2.441875000000662,-0.5893750000007271
5,2,3.16,0.0,1.91,5.84,8.17,5.58,0.7699999999996381,-2.441875000000662,-0.5893750000007271
5,3,3.16,0.0,1.91,5.84,8.17,5.58,0.7699999999996381,-2.441875000000662,-0.5893750000007271
5,4,1.68,0.0,1.85,6.34,8.77,24.78,1.116874999999645,-2.3165625000005092,-1.009062500000659
6,1,1.69,0.0,2.23,280.83,42.37,164.87,0.9231249999995724,-2.511093750001505,-0.9014062500019826
6,2,1.69,0.0,2.23,11.41,22.28,23.02,0.9231249999995724,-2.511093750001505,-0.9014062500019826
6,3,1.69,0.0,2.23,11.41,22.28,23.02,0.9231249999995724,-2.511093750001505,-0.9014062500019826
6,4,1.66,0.0,1.75,10.85,2.78,0.0,1.018593749999877,-2.2154687500014822,-1.0800000000020917
7,1,1.63,0.0,3.46,270.97,38.19,99.76,0.6517968749914507,-3.863281250001837,1.469296874999054
7,2,1.63,0.0,3.46,1.09,9.73,7.43,0.6517968749914507,-3.863281250001837,1.469296874999054
7,3,1.63,0.0,3.46,1.09,9.73,7.43,0.6517968749914507,-3.863281250001837,1.469296874999054
7,4,0.93,0.0,1.98,0.79,0.71,1.65,0.4219531249920146,-2.3094531250011823,0.997265624998945
8,1,1.68,2.12,3.14,272.29,43.4,213.94,0.3723437499682768,-1.4406250000261207,0.3987109374890133
8,2,1.68,2.12,3.14,3.34,28.78,16.13,0.3723437499682768,-1.4406250000261207,0.3987109374890133
8,3,1.68,2.12,3.14,3.34,28.78,16.13,0.3723437499682768,-1.4406250000261207,0.3987109374890133
8,4,1.23,1.49,3.18,2.27,0.26,3.62,0.18234374997053235,-1.1898437500237924,0.3307031249817374
9,1,2.17,3.24,4.89,271.86,41.15,185.63,1.3390039062032884,-3.937031250079308,0.1661914062130381
9,2,2.17,3.24,4.89,2.55,12.41,24.0,1.3390039062032884,-3.937031250079308,0.1661914062130381
9,3,2.17,3.24,4.89,2.55,12.41,24.0,1.3390039062032884,-3.937031250079308,0.1661914062130381
9,4,1.32,2.96,4.47,1.43,0.47,0.0,1.1283398437104186,-2.559570312574797,-0.5015625000542786
10,1,3.18,0.7,5.2,75.84,29.5,331.62,2.4395312496513357,-2.9875097656756404,-1.9435546877869638
10,2,3.18,0.7,5.2,-2.04,21.9,323.62,2.4395312496513357,-2.9875097656756404,-1.9435546877869638
10,3,3.18,0.7,5.2,-2.04,21.9,323.62,2.4395312496513357,-2.9875097656756404,-1.9435546877869638
10,4,2.08,0.0,4.73,0.0,-0.0,117.5,1.959374999671709,-3.238330078160507,-2.872714843987487
11,1,33.5,0.0,25.92,281.33,64.87,191.74,3.419443359242287,-3.1210986328462607,-0.4085986325819976
11,2,33.5,0.0,25.92,12.08,48.74,73.53,3.419443359242287,-3.1210986328462607,-0.4085986325819976
11,3,33.5,0.0,25.92,12.08,48.74,73.53,3.419443359242287,-3.1210986328462607,-0.4085986325819976
11,4,33.5,0.0,24.4,10.88,42.06,0.74,3.1396337889495776,-3.2309326171153225,-0.39915039042010897
12,1,3.14,0.0,5.97,272.85,44.29,188.95,1.2899999673152343,-2.450000068319496,0.9100001621735282
12,2,3.14,0.0,5.97,3.65,15.99,7.43,1.2899999673152343,-2.450000068319496,0.9100001621735282
12,3,3.14,0.0,5.97,3.65,15.99,7.43,1.2899999673152343,-2.450000068319496,0.9100001621735282
12,4,2.55,0.0,4.39,2.51,0.55,0.0,1.099999955072999,-1.960000043839682,0.13000018075807016
13,1,2.02,0.0,5.89,272.84,43.21,187.73,1.5399999839859082,-2.0000001150369644,0.6900005205394699
