epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,740.903,0.61822,1.50107,0.38412,0.88424,0.94632,0.92291,0.96494,0.73454,0.90641,0.85446,0.88839,0.48472,0.68845,1.76537,0.3831,0.85508,9.7327e-05,9.7327e-05,9.7327e-05
29,765.324,0.61203,1.48511,0.38362,0.87745,0.92681,0.94069,0.95539,0.71977,0.89595,0.84289,0.87189,0.47895,0.71247,1.72723,0.39372,0.86527,9.7228e-05,9.7228e-05,9.7228e-05
30,790.493,0.61428,1.48412,0.37607,0.87725,0.95394,0.9114,0.96027,0.7308,0.88629,0.84423,0.87315,0.47898,0.70981,1.75419,0.38948,0.8591,9.7129e-05,9.7129e-05,9.7129e-05
31,814.954,0.61563,1.45959,0.3838,0.87391,0.93691,0.94338,0.95988,0.73073,0.86332,0.86565,0.86301,0.47404,0.70345,1.77207,0.38686,0.85878,9.703e-05,9.703e-05,9.703e-05
32,840.01,0.61577,1.44574,0.38049,0.87633,0.93753,0.91693,0.9562,0.73319,0.90395,0.84419,0.88135,0.47714,0.69841,1.78751,0.38676,0.85469,9.6931e-05,9.6931e-05,9.6931e-05
33,864.818,0.61256,1.45786,0.38097,0.87511,0.95646,0.93038,0.97133,0.74317,0.87431,0.86474,0.8686,0.4601,0.68495,1.87286,0.3797,0.8566,9.6832e-05,9.6832e-05,9.6832e-05
34,890.126,0.61265,1.49244,0.38075,0.87865,0.9531,0.93211,0.96296,0.7251,0.87474,0.85714,0.86767,0.47608,0.70675,1.75766,0.38849,0.86039,9.6733e-05,9.6733e-05,9.6733e-05
35,916.601,0.61552,1.47131,0.37643,0.87695,0.94786,0.94362,0.96753,0.73383,0.86319,0.85757,0.86392,0.46619,0.70288,1.82481,0.38307,0.86641,9.6634e-05,9.6634e-05,9.6634e-05
36,941.463,0.60312,1.45317,0.37611,0.87194,0.95822,0.91737,0.9615,0.73115,0.89275,0.84934,0.86859,0.47545,0.70133,1.7527,0.37979,0.85567,9.6535e-05,9.6535e-05,9.6535e-05
37,966.391,0.59967,1.4417,0.37042,0.87467,0.9655,0.92267,0.96897,0.74479,0.88996,0.86285,0.87915,0.46789,0.67704,1.85308,0.37402,0.84897,9.6436e-05,9.6436e-05,9.6436e-05
38,992.137,0.60385,1.47598,0.37182,0.87588,0.94308,0.92681,0.96115,0.72859,0.87247,0.85295,0.85752,0.44814,0.72952,1.91917,0.39731,0.8687,9.6337e-05,9.6337e-05,9.6337e-05
39,1017.03,0.59446,1.44163,0.37008,0.87222,0.96439,0.93531,0.96829,0.73869,0.87035,0.84693,0.86255,0.45754,0.70528,1.88188,0.38095,0.85822,9.6238e-05,9.6238e-05,9.6238e-05
40,1042.34,0.58969,1.45339,0.3624,0.8684,0.95868,0.92945,0.96666,0.74002,0.90169,0.85185,0.87142,0.46238,0.7012,1.8608,0.38169,0.85477,9.6139e-05,9.6139e-05,9.6139e-05
41,1067.62,0.59969,1.43168,0.36501,0.87413,0.94495,0.93927,0.96861,0.7447,0.88593,0.84437,0.8695,0.46263,0.70616,1.84088,0.37371,0.85917,9.604e-05,9.604e-05,9.604e-05
42,1092.73,0.60519,1.45278,0.37148,0.87072,0.95986,0.93972,0.97002,0.73843,0.88758,0.87159,0.88898,0.47094,0.72578,1.85038,0.38236,0.8619,9.5941e-05,9.5941e-05,9.5941e-05
43,1119.36,0.60921,1.43918,0.36921,0.87542,0.95722,0.93913,0.96754,0.73644,0.8993,0.86059,0.88121,0.45973,0.7037,1.87073,0.37562,0.85441,9.5842e-05,9.5842e-05,9.5842e-05
44,1143.61,0.59057,1.42705,0.36008,0.86461,0.95288,0.93969,0.9679,0.75077,0.88921,0.86048,0.87695,0.45827,0.69711,1.86084,0.37025,0.86018,9.5743e-05,9.5743e-05,9.5743e-05
