x,y,z,roll,pitch,yaw
-197.24743188668248,969.3372958759876,739.6105885073312,-88.888976626112,64.0627791631023,-28.39373789327991
-204.96969903421558,973.6996088539324,735.2278820049632,-90.32412289638005,63.95334921702093,-66.47690960750185
-205.5639446479821,975.0618828173267,734.5048518194669,-87.79489839521592,70.00549611495626,51.221730231574504
-206.5749083189246,973.910231794904,733.9474821218582,-90.12648213104973,65.14832651759997,-60.89789523678753
-207.3368205596284,975.2867137835237,733.2208778611146,-88.38114313283,56.91904786828817,-4.979674718591378
-208.30421822788907,975.4013252540723,732.5794776234179,-88.26456271644075,59.666259981544464,-4.729690955370665
-209.1102103238199,975.4942378172586,732.0994474049967,-90.11098636748683,67.3774962173941,-60.4208904231395
-209.88687372215122,976.8703680312582,731.4432252342649,-88.01879980347528,64.09748710327474,-4.198597599684454
-210.85791668556493,976.976214654474,730.9631293459306,-83.7048395942737,82.8500134696963,-0.6475677249738778
-211.9865395209184,977.109611617834,730.8163281921504,-89.54363865182962,84.33602188440356,-55.48712684353089
-212.9358966309376,978.5215393570874,730.6520417120347,180.0,0.0,0.0
