epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,137.429,0.81029,1.65964,0.77748,0.90987,0.93208,0.89645,0.93208,0.63014,0.80942,0.78585,0.7641,0.42164,0.88194,1.96797,0.69591,0.91671,9.7327e-05,9.7327e-05,9.7327e-05
29,141.469,0.83515,1.64053,0.76203,0.8986,0.92168,0.89958,0.93071,0.62841,0.82343,0.80299,0.78681,0.42384,0.8755,1.98693,0.685,0.91212,9.7228e-05,9.7228e-05,9.7228e-05
30,145.532,0.80145,1.5873,0.73201,0.88898,0.92633,0.8984,0.92772,0.63127,0.82604,0.80694,0.78563,0.43298,0.88721,1.98184,0.67578,0.9188,9.7129e-05,9.7129e-05,9.7129e-05
31,150.198,0.80573,1.6604,0.74622,0.90833,0.94104,0.89352,0.93723,0.62592,0.78866,0.80194,0.76604,0.43152,0.87272,1.91965,0.67779,0.91034,9.703e-05,9.703e-05,9.703e-05
32,154.208,0.80943,1.64161,0.72118,0.89746,0.93735,0.90041,0.94319,0.62505,0.79253,0.79584,0.76226,0.4246,0.87902,1.95785,0.67129,0.91501,9.6931e-05,9.6931e-05,9.6931e-05
33,159.327,0.81566,1.73622,0.74867,0.91518,0.94272,0.90054,0.94381,0.64299,0.81608,0.78888,0.76356,0.40189,0.86649,2.12261,0.66655,0.91898,9.6832e-05,9.6832e-05,9.6832e-05
34,163.805,0.79692,1.64735,0.71455,0.90262,0.94665,0.89714,0.94382,0.63739,0.81157,0.7833,0.75234,0.40647,0.87943,2.0418,0.69178,0.91432,9.6733e-05,9.6733e-05,9.6733e-05
35,168.681,0.81494,1.67331,0.7706,0.91275,0.92453,0.9059,0.94784,0.64037,0.81807,0.80764,0.79331,0.42569,0.88337,1.92562,0.68228,0.91829,9.6634e-05,9.6634e-05,9.6634e-05
36,173.375,0.8059,1.64169,0.7361,0.89478,0.94384,0.90788,0.94993,0.64646,0.79901,0.77039,0.75039,0.42474,0.88373,1.92491,0.67716,0.92036,9.6535e-05,9.6535e-05,9.6535e-05
37,177.683,0.76978,1.57627,0.68637,0.88835,0.94267,0.90555,0.94839,0.64312,0.82049,0.78478,0.76444,0.41492,0.86677,2.00584,0.65608,0.91405,9.6436e-05,9.6436e-05,9.6436e-05
38,182.869,0.78568,1.65942,0.71354,0.90809,0.94434,0.92198,0.95215,0.63997,0.80793,0.79529,0.76522,0.4114,0.86567,2.02752,0.66504,0.9123,9.6337e-05,9.6337e-05,9.6337e-05
39,188.145,0.77877,1.71595,0.71548,0.89965,0.94881,0.91178,0.94879,0.65022,0.80497,0.77836,0.76401,0.41228,0.87463,1.9864,0.66208,0.91473,9.6238e-05,9.6238e-05,9.6238e-05
40,192.444,0.80314,1.60085,0.72896,0.89798,0.94603,0.92355,0.95654,0.65444,0.80317,0.78835,0.77071,0.43875,0.8563,1.83923,0.65006,0.90199,9.6139e-05,9.6139e-05,9.6139e-05
41,197.05,0.75513,1.64783,0.6707,0.8904,0.94158,0.92437,0.95717,0.65971,0.84467,0.83221,0.82319,0.4557,0.83257,1.78772,0.6297,0.89348,9.604e-05,9.604e-05,9.604e-05
42,201.583,0.77666,1.64257,0.68307,0.89521,0.96088,0.91821,0.9582,0.65541,0.82913,0.79496,0.77767,0.42377,0.85281,1.93986,0.64048,0.90384,9.5941e-05,9.5941e-05,9.5941e-05
43,207.005,0.80248,1.72248,0.73317,0.91779,0.95302,0.91697,0.95398,0.65746,0.82228,0.79905,0.76553,0.40785,0.86225,2.07865,0.63745,0.90778,9.5842e-05,9.5842e-05,9.5842e-05
44,211.231,0.79041,1.66039,0.68852,0.89399,0.95833,0.91291,0.95617,0.65831,0.80874,0.77552,0.7568,0.40228,0.87563,2.09851,0.65122,0.91288,9.5743e-05,9.5743e-05,9.5743e-05
45,215.561,0.75674,1.61575,0.65888,0.89015,0.95135,0.92662,0.95644,0.66249,0.83897,0.80061,0.79177,0.42992,0.8404,1.88231,0.63447,0.89393,9.5644e-05,9.5644e-05,9.5644e-05
46,220.244,0.76503,1.61324,0.66728,0.89041,0.94953,0.91781,0.95337,0.65859,0.80969,0.78847,0.76743,0.42871,0.84448,1.89449,0.62479,0.89697,9.5545e-05,9.5545e-05,9.5545e-05
47,224.503,0.75183,1.58892,0.64588,0.88235,0.96189,0.9225,0.95571,0.65316,0.81617,0.78533,0.76316,0.41329,0.85402,2.09095,0.6261,0.90397,9.5446e-05,9.5446e-05,9.5446e-05
48,229.504,0.77771,1.66438,0.68043,0.898,0.95478,0.91762,0.95626,0.6583,0.82753,0.80474,0.77907,0.41262,0.84495,2.14183,0.62678,0.90239,9.5347e-05,9.5347e-05,9.5347e-05
49,234.061,0.75912,1.57163,0.6544,0.88449,0.95528,0.91762,0.95422,0.66402,0.82546,0.80281,0.77566,0.40399,0.82993,2.09532,0.62599,0.89995,9.5248e-05,9.5248e-05,9.5248e-05
50,238.836,0.77559,1.62215,0.67853,0.89251,0.94731,0.93236,0.95688,0.67408,0.86585,0.83823,0.81938,0.44933,0.8241,1.87552,0.60975,0.8901,9.5149e-05,9.5149e-05,9.5149e-05
51,243.766,0.77253,1.63109,0.71134,0.90914,0.94796,0.93917,0.96011,0.67117,0.82373,0.80989,0.79233,0.43561,0.81628,1.84338,0.61051,0.8835,9.505e-05,9.505e-05,9.505e-05
52,248.561,0.76272,1.62109,0.6617,0.8932,0.94451,0.93405,0.95984,0.66644,0.85358,0.83273,0.81168,0.44049,0.8255,1.87678,0.60439,0.89144,9.4951e-05,9.4951e-05,9.4951e-05
53,252.982,0.75188,1.62125,0.64456,0.88127,0.94349,0.94351,0.96001,0.66317,0.83527,0.82673,0.80596,0.4387,0.85262,1.85252,0.61371,0.9004,9.4852e-05,9.4852e-05,9.4852e-05
54,257.162,0.75278,1.55631,0.65538,0.88245,0.94834,0.93404,0.96038,0.66295,0.81621,0.78981,0.76936,0.41556,0.83114,1.93794,0.6028,0.89713,9.4753e-05,9.4753e-05,9.4753e-05
55,261.926,0.76694,1.61146,0.66049,0.89001,0.95708,0.94155,0.95867,0.66541,0.85246,0.8184,0.79927,0.43294,0.83947,1.92147,0.60753,0.90266,9.4654e-05,9.4654e-05,9.4654e-05
56,266.664,0.74571,1.63872,0.64933,0.88455,0.94455,0.93051,0.95654,0.65648,0.81295,0.81491,0.7888,0.43081,0.85037,1.86465,0.62464,0.90153,9.4555e-05,9.4555e-05,9.4555e-05
57,271.137,0.74486,1.52537,0.64397,0.8893,0.9506,0.93963,0.96411,0.67636,0.85823,0.82935,0.81148,0.43071,0.80391,1.89145,0.59951,0.89,9.4456e-05,9.4456e-05,9.4456e-05
58,275.813,0.74992,1.58384,0.64657,0.88713,0.96267,0.93818,0.96706,0.67031,0.81778,0.80457,0.77731,0.41727,0.81265,1.9904,0.60349,0.89161,9.4357e-05,9.4357e-05,9.4357e-05
59,280.603,0.74345,1.63237,0.63929,0.88612,0.9544,0.93802,0.96556,0.67325,0.83301,0.82335,0.80578,0.44024,0.8295,1.87709,0.61268,0.89776,9.4258e-05,9.4258e-05,9.4258e-05
60,285.275,0.73309,1.62784,0.64188,0.88146,0.96174,0.9462,0.96741,0.67974,0.83824,0.82887,0.80134,0.44206,0.83232,1.81886,0.59971,0.90309,9.4159e-05,9.4159e-05,9.4159e-05
61,290.349,0.74654,1.58044,0.6433,0.8837,0.96671,0.93901,0.96987,0.68108,0.85126,0.82841,0.81354,0.442,0.80756,1.83374,0.59293,0.89059,9.406e-05,9.406e-05,9.406e-05
62,295.209,0.73265,1.64339,0.63125,0.88057,0.96866,0.92962,0.96913,0.68337,0.84044,0.81162,0.79077,0.43675,0.81781,1.90547,0.60962,0.89067,9.3961e-05,9.3961e-05,9.3961e-05
63,300.104,0.73754,1.54555,0.62941,0.88628,0.961,0.93822,0.96964,0.68066,0.86446,0.82631,0.82005,0.44417,0.82897,1.91783,0.60181,0.89496,9.3862e-05,9.3862e-05,9.3862e-05
64,304.775,0.74909,1.57974,0.64804,0.89248,0.96085,0.93053,0.9642,0.67838,0.84656,0.82569,0.81741,0.44747,0.8378,1.88321,0.59786,0.90589,9.3763e-05,9.3763e-05,9.3763e-05
65,309.886,0.75332,1.65531,0.64475,0.8879,0.96475,0.93632,0.97315,0.68093,0.8424,0.82464,0.81578,0.44607,0.8266,1.82105,0.59965,0.89653,9.3664e-05,9.3664e-05,9.3664e-05
66,314.342,0.72776,1.56473,0.60869,0.87228,0.96036,0.94823,0.97355,0.68327,0.84784,0.8251,0.81201,0.44323,0.80931,1.83467,0.57955,0.88858,9.3565e-05,9.3565e-05,9.3565e-05
67,319.074,0.74992,1.57609,0.63441,0.88579,0.95424,0.94566,0.97266,0.67985,0.82397,0.82295,0.78593,0.42638,0.81022,1.95205,0.57575,0.88834,9.3466e-05,9.3466e-05,9.3466e-05
68,323.813,0.73399,1.60526,0.62144,0.8831,0.9615,0.94116,0.97213,0.67831,0.82946,0.8152,0.78125,0.42432,0.84582,1.97145,0.59215,0.90374,9.3367e-05,9.3367e-05,9.3367e-05
69,328.582,0.72891,1.61379,0.63027,0.88387,0.95954,0.93573,0.9683,0.67844,0.8365,0.82321,0.7941,0.4391,0.83406,1.81981,0.58725,0.90399,9.3268e-05,9.3268e-05,9.3268e-05
