x,y,z,roll,pitch,yaw
-10.22612938385032,982.6546816370585,735.1172257259359,-89.38874158867485,42.819994862520616,-9.143826218641573
-16.851029831203164,983.7155986991486,727.7747832780979,-89.10077688889623,53.367770972290835,58.476528914951835
-17.67495497305208,982.4406498430254,726.6466967968514,-89.29889524365987,35.690296783784135,-1.169106432612409
-18.49523352089841,982.4733053035297,725.4953958765125,-89.2751359582228,40.73592875909618,-1.8854181798448701
-19.477165648211212,982.5230942420551,724.3456561263288,-89.2861393154552,38.761931609496926,-1.6469488508272534
-20.45953737964726,982.5693359427669,723.1119968536291,-89.30529410184921,35.63255443854577,-1.5469700007991407
-21.279219035756455,982.6072914669573,721.9587389425803,-90.36108879830678,52.75843161088146,-58.32056503752634
-22.117575582953634,983.9542839269059,720.7523713337646,-89.28613025647279,40.6573576115272,-2.490381573652899
-23.10290586122926,984.0144885868586,719.5947550308922,-89.21407123613507,49.47924762326659,-3.3484861270915762
-24.249311767408187,984.1003445946,718.6052030363082,-90.42335173466914,78.95961762918466,-47.62162560156338
-25.586991219245192,985.5473589216167,718.2219448294975,180.0,0.0,0.0
