Epoch,train_box_loss,train_cls_loss,train_seg_loss,train_objectness_loss,train_rpn_box_loss,val_box_loss,val_cls_loss,val_seg_loss,val_objectness_loss,val_rpn_box_loss,metrics_precision_box,metrics_recall_box,metrics_mAP50_box,metrics_mAP5095_box,metrics_mAP5095_mask,metrics_precision_mask,metrics_recall_mask,metrics_mAP50_mask
1,0.4742931723594665,0.2563858032226562,0.2032094597816467,0.1296406984329223,0.1169871538877487,0.5146533250808716,0.2279307097196579,0.2967469096183777,0.0231576655060052,0.2144298553466797,0.4190644076657243,0.5767457708034431,0.8774886433717729,0.4583190063163201,0.2590720202375437,0.27767024453138106,0.2544225573391726,0.27629153721356675
2,0.4108204245567322,0.1941990256309509,0.1933745592832565,0.0277548916637897,0.1865540891885757,0.4342079162597656,0.1399601995944976,0.1926415115594864,0.0111569352447986,0.1169199869036674,0.4532137915262561,0.6099293679466232,0.9367275515623348,0.5022428636753686,0.3260510777756928,0.3287037435601593,0.3170718319663139,0.328890064183443
3,0.3127633929252624,0.1793035417795181,0.2038339674472808,0.0155647750943899,0.0576754063367843,0.3697443008422851,0.1191769763827323,0.2210582792758941,0.0232535004615783,0.0511298030614852,0.621548211851497,0.677474681618938,0.9656842167156482,0.6018951158531255,0.37620336806103105,0.38953085557916967,0.37063625648889464,0.41962484707608555
4,0.5002602934837341,0.2029374092817306,0.2235675752162933,0.0207101665437221,0.0282345842570066,0.2853869199752807,0.1260578483343124,0.1849049925804138,0.0111207328736782,0.0449400134384632,0.6795162250252119,0.690302366002671,0.9745764804264696,0.6252828396616228,0.3949019191315894,0.46309829221963855,0.4261605090762604,0.4755010491233535
5,0.471043586730957,0.2518662512302398,0.3371571898460388,0.0560817793011665,0.1264837980270385,0.2425642311573028,0.1246705576777458,0.1519820541143417,0.0260893236845731,0.0303844287991523,0.6602854560702052,0.6673898946349762,0.9429915504329264,0.5855118952311095,0.441335646980474,0.503148756343205,0.4389976414400627,0.49779530095287694
6,0.3292671144008636,0.1713893860578537,0.1695044785737991,0.0022262842394411,0.0793680548667907,0.4057933688163757,0.1643564701080322,0.2174771726131439,0.0021615384612232,0.0603224486112594,0.7547029756055859,0.7232594035002132,0.9788892904089784,0.6593298831939487,0.4848088912519728,0.5644689841758226,0.5025900619578146,0.5572514250661857
7,0.3567870259284973,0.1490951031446457,0.1458552628755569,0.0150423189625144,0.0673846378922462,0.2846376895904541,0.1099436730146408,0.1748839169740677,0.0034568859264254,0.0394842289388179,0.7811596079679699,0.7318412113043606,0.987083080223428,0.6721530515482654,0.4909687113209154,0.5925083968293746,0.544543681278122,0.6049612580763933
8,0.2833193838596344,0.1525252014398574,0.1429698169231414,0.0071154278703033,0.0253459438681602,0.4413573741912842,0.193326398730278,0.2195517420768737,0.0197150837630033,0.2844820618629455,0.7902108536116506,0.7409981092639845,0.9808301006929938,0.6883364377545919,0.5328531753680857,0.6337182010175244,0.5685255898953885,0.6311138496182849
9,0.1879031956195831,0.0914244428277015,0.1207309812307357,0.0008229151717387,0.0255151093006134,0.1858848333358764,0.0942862406373024,0.1253319382667541,0.0032907361164689,0.0122435307130217,0.8545626277903439,0.7729698764015572,0.9883727939606824,0.7235394414834161,0.5827435131047903,0.6736115212486555,0.5776245099403723,0.6639158952301982
10,0.2587783932685852,0.0995620489120483,0.1249881461262703,0.0110301533713936,0.0341060906648635,0.236096441745758,0.1027305349707603,0.1823605448007583,0.0011760661145672,0.0303580723702907,0.8688246370508347,0.7835034014663399,0.9861277008428668,0.7378130866439343,0.5922840561803971,0.6903298865682197,0.6237836390420083,0.6905841467585592
11,0.2310148775577545,0.1522673964500427,0.1719693094491958,0.004739660769701,0.0542831718921661,0.2441627383232116,0.0934542790055275,0.1475666165351867,0.0033461283892393,0.0658164098858833,0.8897397718844058,0.7820518623161399,0.9859077223195216,0.7331569500324023,0.6123851888647387,0.7055326114738143,0.6236602202233329,0.7270537386368502
12,0.2063542753458023,0.1300290673971176,0.1638563871383667,0.0074242553673684,0.0359102301299572,0.2418262213468551,0.1044221743941307,0.1875990629196167,0.0018720114603638,0.2422598600387573,0.8901583542159587,0.7916545886011936,0.9901461827507154,0.7387748394329904,0.6263180803611115,0.7502428596240035,0.6577377124130289,0.7477639614485343
13,0.1980837285518646,0.0755753889679908,0.1454455554485321,0.0028387268539518,0.0218171793967485,0.2035029977560043,0.0667107254266738,0.1470754593610763,0.0021458968985825,0.1216681376099586,0.8853518222388375,0.8040556198894168,0.9924428890166388,0.7581705905488059,0.632331651532373,0.7774823743698287,0.6682679815121529,0.7836182128298851
14,0.2274731397628784,0.1216870471835136,0.1402055323123932,0.0064584598876535,0.0423690825700759,0.1858019381761551,0.1124278604984283,0.1606156677007675,0.0271505396813154,0.0466214753687381,0.943390026079214,0.8223831775309088,0.9949931194500558,0.7798006097091876,0.6579296007122172,0.7871007149679938,0.6847458262822862,0.7814940374263469
15,0.1945817470550537,0.1098421663045883,0.1531364917755127,0.0186219066381454,0.0293672364205122,0.2432490736246109,0.1068414971232414,0.1463265269994735,0.0044249142520129,0.163655549287796,0.9316907044760524,0.8227757147442295,0.9950304261247296,0.7769646664059434,0.6731969928030682,0.7992765206529931,0.7147803978842503,0.7979180639853787
16,0.2078205049037933,0.1065368056297302,0.1148678734898567,0.0006968837114982,0.0281962230801582,0.216508686542511,0.0921208932995796,0.1546688228845596,0.0007000939222052,0.0377178266644477,0.9280495449080168,0.8304720450973143,0.9956996782835889,0.7824669260523859,0.7007906248374535,0.811899155001603,0.7221146843540796,0.8270920387547324
17,0.236926794052124,0.0800152719020843,0.1618771851062774,0.0022306223399937,0.0845415964722633,0.1888338327407837,0.0845215693116188,0.1407825201749801,0.0087459255009889,0.0493289493024349,0.9618922473256012,0.8447912874807291,0.998499226789454,0.807925557013026,0.7069387868422142,0.8222979688766429,0.7363953670710183,0.839939424348475
18,0.1878194659948349,0.0805265307426452,0.1113899052143096,0.0139584522694349,0.0141094392165541,0.1377923935651779,0.0553381294012069,0.1283838152885437,0.0003397130931261,0.0135605866089463,0.9521297852075286,0.8254340448927712,0.996268520784345,0.7800421775217685,0.6993947314171757,0.8457376916417386,0.7480055103202594,0.8618237180841019
19,0.1856528222560882,0.1430647522211074,0.1480233371257782,0.0194746702909469,0.0403665527701377,0.1722061038017273,0.0444725416600704,0.119032584130764,0.0009967285441234,0.1137163192033767,0.9523275892106228,0.8371496489988927,0.99629045960256,0.796964411845475,0.7220457795130508,0.8797049297068532,0.7495648190881912,0.8858841101336036
20,0.1754341423511505,0.0776124224066734,0.1063455939292907,0.0299406684935092,0.0338745005428791,0.1363962292671203,0.0468307323753833,0.1340621560811996,0.0002502975985407,0.3783536851406097,0.9745103752975594,0.8513954675975659,0.999403194683225,0.8122140566776387,0.7164463567638332,0.8655431083811783,0.7680017160324631,0.8903718772697983
21,0.1592303812503814,0.0759361833333969,0.1076918989419937,0.0121495053172111,0.0261691752821207,0.1718577593564987,0.0548800490796566,0.103068321943283,0.0229685623198747,0.0114703048020601,0.9542332220390468,0.8605903178753558,0.9984866151932076,0.8195827209602313,0.7244786210600317,0.8803868883151947,0.7805071192586926,0.8895524619776392
22,0.1129864230751991,0.0631578713655471,0.1113465726375579,0.0348572209477424,0.0774997770786285,0.1533139795064926,0.0563468448817729,0.1399365812540054,0.010952322743833,0.0393773503601551,0.937802652478999,0.8229710305509801,0.9919641646993989,0.784267560081002,0.7198875953913283,0.8969452479198239,0.7834903268949062,0.9085770999942135
