x,y,z,roll,pitch,yaw
201.0871362898697,915.3898000648076,743.0999488619689,-59.48673586193051,25.248440613320096,-21.222975240418272
195.26481692079926,921.8827839736742,738.0332753675627,-62.371194225021156,23.67198905094314,-44.353804359886325
194.81009942576475,922.8526534560507,737.1858223392703,-116.80069380466209,22.849341235117652,22.418156552321022
193.94924841345915,921.9654827528352,736.2960201285925,-61.27301768804488,24.520516171708103,-29.886978796391233
193.2025510684631,922.9654106324632,735.4470619088426,-61.31598869667468,24.502796862627054,-29.856767106580058
192.45072601880156,923.9706473063006,734.5915455638972,-61.34584523590154,24.49036072502267,-29.845473503316278
191.69374212089372,924.9819899313543,733.7294298150987,-62.97563686349313,23.776035843097763,-30.65225081960186
190.93098783368487,926.0010088733097,732.7859138981892,-72.38683458739658,20.869286360159563,22.17377324331034
190.0486159659872,926.069601881289,732.0551997348662,-45.06963962871484,22.1061263335029,35.996727659525
188.88526357829858,926.1981055625059,732.0009341356949,-33.86092878657225,36.23375470938745,-43.11384547693232
187.89975986981733,929.2315704232811,731.8118722849001,180.0,0.0,0.0
