x,y,z,roll,pitch,yaw
-278.54908683821895,916.2612755191551,745.9169698485076,-65.13914294180461,23.16167538448521,-17.481385846627433
-284.5853132298877,920.9742034907215,739.9410741227887,-65.13914294180461,23.16167538448521,-17.481385846627433
-284.8722253221465,919.8976628514756,739.1181872235054,-65.13914294180461,23.16167538448521,-17.481385846627433
-285.474319844018,920.9906289218242,738.2705191775151,-65.13914294180461,23.16167538448521,-17.481385846627433
-286.22556222121233,922.1102198705812,737.3449069288256,-65.13914294180461,23.16167538448521,-17.481385846627433
-286.8376017322899,923.2204817536117,736.4824523967509,-65.13914294180461,23.16167538448521,-17.481385846627433
-287.454394562959,924.340266102651,735.6126798733619,-65.13914294180461,23.16167538448521,-17.481385846627433
-288.04898489256993,924.3682973770567,734.7314542601716,-65.13914294180461,23.16167538448521,-17.481385846627433
-288.81844788246195,925.5145888093446,733.8532539376014,-65.13914294180461,23.16167538448521,-17.481385846627433
-289.98509033338587,925.6232211079994,733.8018567607938,-65.13914294180461,23.16167538448521,-17.481385846627433
-290.9020624427303,926.8157000521435,733.5190652462466,-65.13914294180461,23.16167538448521,-17.481385846627433
