Index,Hook_X,Hook_Y,Hook_Z,Tip_X,Tip_Y,Tip_Z,Lowpoint_X,Lowpoint_Y,Lowpoint_Z
1,472.4581828083027,-1492.0812210482575,3876.2232314079674,370.4261598781193,-731.5879509193044,1956.0730694206636,265.1767749400866,-623.9206337291098,1907.869207271319
2,-10.566610088930044,-43.3044750060213,95.4458779214688,3.8773866815256874,46.726256355546695,-92.48965814752785,9.343437023557051,50.669548225991086,-104.09460849822067
3,-18.593076811547622,-68.15107853334307,168.043685808638,-7.561786691448077,-59.34835108765619,158.46188221599942,-14.758953293748627,-54.080892813389724,164.83197754373674
4,-20.98366699117957,-65.82429241454281,162.2922195373606,-9.74987144187258,-55.06633594628192,154.21350084233322,-17.20575156413963,-51.34925314197146,160.11691312344468
5,48.054377967784205,-321.2035258077979,818.8779230193348,72.44477777804408,-228.91562122944018,622.1196433263777,52.851423929266474,-223.57986908156997,688.1287110632514
6,-8.678086127206171,-33.78413045076225,74.07802943182197,3.7850313294101645,34.98882803374481,-68.84090087876294,7.037405737815001,37.06284484380171,-75.74535912024614
7,-17.418035601088793,-67.8755492825066,162.9816844996789,-6.340610688238952,-58.53957782595961,154.50557846321468,-13.191716089354676,-53.937227399306884,160.5922100420722
8,-20.810603409267404,-68.53980702141122,166.63023131592163,-9.784767445863519,-57.170427930589554,160.01556525314513,-17.214245833310493,-53.84560828661929,165.71416278201445
9,-25.931723921385824,-77.8076267594792,188.36972014826694,-11.786304210980466,-65.76244616447381,179.95833733938417,-20.871076396492498,-60.22556121284978,182.33006531458363
10,-17.17622888160481,-63.582528144342604,152.90896646032445,-6.21354419973218,-55.32038321621334,145.37955586495093,-13.173731672222274,-50.66596789331065,152.05167659036033
11,-17.001331292230454,-72.86329385536406,170.07267650359486,-3.8115626804884415,-66.66939827799436,163.06538281773172,-11.609137970078754,-58.53195819425999,165.99066576134297
12,-19.78074217231409,-71.27209543958206,171.72297425346676,-7.57312277520776,-60.7672508626779,164.52722447271898,-15.795012267712211,-56.578856807336074,169.89530189621016
13,-23.904616677899828,-74.72837073363087,180.13747376047962,-11.390719687727147,-64.20188595956462,172.21211164141977,-20.01931087023891,-59.03052715334438,177.12787994208162
14,-23.50772220702353,-76.41605684010685,183.31518135512462,-9.425628031309936,-67.09302417590524,177.32773138240873,-18.606784389244147,-60.798413982540204,181.04503695272885
15,-18.22939773761588,-65.57779081053604,159.52209407080036,-8.616680939359053,-52.048301757053984,152.84808992248352,-16.521289061130688,-50.69000099252864,158.6375672083764
16,457.8325515496694,-1918.7887307624303,4283.404667690251,-28.35307781634331,-29.830954023650843,58.77369642641573,-31.03545217692622,-31.349183992609603,63.853939058919494
17,-21.580434925012575,-68.03068565171462,176.01309706476735,-9.652014681902747,-66.0106111667736,179.60708106471188,-19.248060813449044,-60.663435110637494,183.4640396513153
18,-16.51902237045694,-64.94752888130601,158.06820897871108,-5.626249606577395,-57.51684730385123,151.34485455733036,-12.844905302505897,-52.46632062589001,156.13769594447757
19,-23.13681644251026,-73.16791296721483,178.34424762336687,-11.195382539163283,-63.258908281407464,170.73830104811236,-19.30051555130056,-58.827827289200656,177.35296778566462
20,-19.16471836416201,-75.64398117538529,182.73721591456572,-6.609945288934188,-66.24952608123758,174.29868348161332,-15.914995094993479,-61.30006260550939,181.18920206398369
21,-18.786360679085394,-70.04346248434688,169.72866018497263,-8.106022260398651,-60.91987137841527,162.32180716363175,-15.527664106746423,-56.58025411411292,169.16220201179124
