Index,Hook_X,Hook_Y,Hook_Z,Tip_X,Tip_Y,Tip_Z,Lowpoint_X,Lowpoint_Y,Lowpoint_Z
1,121.8981365714879,-544.401307886595,1246.9307781725413,-32.28401048539212,-34.43321640174989,67.0796418391891,-34.872504640879775,-35.1061871421097,71.70296758108123
2,-17.969151816575348,-64.02970028843377,169.62478614488208,-6.237412758831952,-63.764841337354724,175.01574051209641,-15.021363448301592,-57.0250055389313,177.06480334661813
3,-18.15750947104673,-61.440657768449476,151.45417194433637,-8.182003383010787,-53.31697044771093,142.4043828135629,-14.926342476851945,-49.46648299224868,150.75855096387156
4,-24.221506077391446,-66.8350487202671,165.28063535753734,-12.814790464911832,-55.97216672067097,157.11275434495442,-20.318636193197072,-52.18049812309239,163.03820402349368
5,-25.33668553999091,-74.94034068688833,183.27644709224003,-12.556621772007984,-62.65783125529916,175.67529695204394,-20.176274309114834,-57.029033174445104,180.03607180217676
6,-19.669962096538868,-67.0993984206924,161.90921208240482,-9.01105075150564,-57.377142259233885,154.65254692191564,-15.070857021871918,-52.394094051050985,159.67553180333329
7,-18.945965221944416,-65.30351974490999,156.81989203779042,-8.223548909010416,-56.47112661537424,149.16635163555173,-14.784799473715326,-51.92512527586751,154.82544380390573
8,-22.165413080599688,-72.18046334199441,175.65114944694787,-10.702091694575664,-60.00535445719362,168.2465443309808,-18.730850208840245,-55.581586454171955,171.33750072017327
9,-26.988367923122993,-74.52798950654277,180.00463145896566,-13.523884961699958,-63.164026516961854,173.36706084607044,-22.064078439705987,-59.70104854087739,180.8343932387525
10,-17.74462694888136,-64.92159236655706,155.8231395183753,-6.480898412509383,-56.515393787161564,148.51892525451305,-13.388656954467175,-50.70072011793477,152.35263686016756
11,-17.499061454804444,-74.85566837931223,174.89327747554927,-3.9982695420475935,-68.56108675116107,167.69714152578484,-11.98696360760701,-60.29933311563826,171.10064278791347
12,-20.357658232982917,-76.42425267564717,184.08622397840168,-7.29514962655557,-65.07366670195636,176.19482643025597,-16.049265464366016,-60.590818323827165,181.91956386862057
13,-24.0724793063251,-68.17739147053003,164.0150619884372,-12.644217760750228,-58.38314726271131,156.6594030422979,-20.493869524557258,-53.898471913221265,161.7179822910345
14,-20.80526460427796,-72.04230019640423,173.10805930711152,-7.554412438583044,-63.09432171249462,166.9174342731233,-16.18500048303864,-57.39793433524066,171.11872204692207
15,-23.23603454748503,-79.29455287486978,192.30527009620803,-11.247819026878934,-63.30435485978302,185.67504712276315,-20.799408436360217,-61.67667178199767,192.96035669834745
16,-15.180008991465028,-58.652138239489,142.68526656725263,-5.164688808730596,-50.35496365542333,137.92786743984067,-11.97229136036106,-46.70597583980702,141.7940302131213
17,-23.29308212260596,-82.66240218384377,201.43023030025665,-9.14244425600848,-71.4025852709555,194.28342914678308,-19.691808438969865,-66.08787688044983,199.44941612289355
18,-15.890394022623004,-66.78523244902227,162.07435220634287,-4.689733179157328,-59.21403341339187,155.62281580093494,-12.09748758736862,-54.20771567227567,161.04616108894487
19,-22.113418206723015,-71.95503055745841,175.44458209295473,-10.383515141949394,-62.48508792783262,168.62569336295107,-18.33844917952969,-58.16650973067859,175.36575959113168
20,-21.062579307285958,-73.16408141407958,176.8702691727495,-8.885777218537848,-64.16399110846503,169.0104023345636,-17.914888428755436,-59.530179261353744,176.2375337024041
21,-18.353644797936866,-72.37966830452613,176.0092359668339,-7.2678120776850275,-63.2458800511032,168.8429999100071,-15.240139045995258,-57.8198194009271,173.0744779111658
