x,y,z,roll,pitch,yaw
710.1747248599046,-493.5883898858925,333.17499802914426,35.52013652320021,19.244710915164212,64.94119648694047
703.5718797659554,-488.3952261965137,338.60670854187174,71.85463768769766,43.67230396572482,77.33860505505788
703.3200166494069,-487.27541811152366,339.69604623641544,47.332931229477126,26.065546688241657,68.09095963990023
702.4255592217731,-486.3016123802332,340.86157444176763,3.416028734429284,2.7568147922346626,50.18260845829047
701.4623456478653,-485.49800912253886,340.9354879510321,47.6383824514797,23.865883312364677,69.88621350270583
700.5513275907467,-484.6160796374204,342.0998996097104,27.13666106620816,17.053511535159465,59.92091364366952
699.5515002989255,-483.81999007258185,342.7174441980518,26.261302942968666,17.68884068567338,58.072237978491216
698.5454449543058,-482.96522220091845,343.32931820534816,26.899822430644996,15.932995208149135,61.27592074976273
697.5330248915106,-482.21461900793474,343.93663645785887,26.587331072974273,4.7889254421220295,80.17878438882019
696.2977143113774,-481.94938001273795,344.5656173707033,42.545475081859095,5.772289005434273,83.89064423369211
695.0113150207721,-481.690004337382,345.7593702964043,-90.38719160788935,40.94128711452378,-0.49240188852668865
